LasikACHGOALSScl,"LASIK Goals","Did you achieve the goals you had for LASIK surgery?",1;2;3,"Yes, fully achieved;Yes, partially achieved;No",1;2;3
LasikACTS2DOInd,"No activity due to vision","Are there daily activities that you would like to do, but don't do, because of your vision or the type of vision correction you have?",1;2;3,"Yes, many;Yes, one or a few;No",1;2;3
LasikAIRCONDScl,"Areas air conditioned","Areas that are air conditioned?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikBLRVSNBTScl,"Bothersome blurry vision","How bothersome has it been?",1;2;3;4,"Very;Somewhat;A little;Not at all",1;2;3;4
LasikBLRVSNInd,"Blurry vision last 7 days","Have you experienced blurry vision in the last 7 days?",1;2,"Yes;No",1;2
LasikBLURVSNScl,"Blurred vision","Blurred vision?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikCRNTDRVInd,"Currently drive","Do you currently drive?",1;2,"Yes;No",1;2
LasikDAILYACTScl,"Difficulty daily activity","Because of your vision, how much difficulty do you have with your daily activities?",1;2;3;4,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty",1;2;3;4
LasikDALYACTSScl,"Eye affect daily activity","During the past seven days, how much did eye problems affect your ability to do your regular daily activities, other than work at a job?",0;1;10;2;3;4;5;6;7;8;9,"0 - Eye problem(s) had no effect on my daily activities;1;10 - Eye problem(s) completely prevented me from doing my regular activities;2;3;4;5;6;7;8;9",0;1;10;2;3;4;5;6;7;8;9
LasikDAYDRVScl,"Difficulty driving day","Because of your vision, how much difficulty do you have driving during the daytime in familiar places? Would you say you have:",1;2;3;4;5;6,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never drive during the daytime because of vision;Never drive during the daytime for other reasons",1;2;3;4;5;6
LasikDBLANVCScl,"Activity dbl vis no corr","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I always use glasses or contact lenses",1;2;3;4;5;6
LasikDBLAWVCScl,"Activity double vis corr","In the last 7 days, how much difficulty have you had doing your usual activities because you see double images when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikDBLBNVCScl,"Bother double vis no corr","In the last 7 days, how bothersome have the double images been when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses",1;2;3;4;5;6
LasikDBLBWVCScl,"Bother double vis correct","In the last 7 days, how bothersome have the double images been when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikDBLOWBVScl,"Double vision 7 days corr","In the last 7 days, how often have you seen double images when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikDBLSNBCScl,"Double vision correction","When you use your best vision correction (glasses or contact lenses) do the double images you see:",1;2;3;4;5;6;7,"Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses",1;2;3;4;5;6;7
LasikDBLWOVCScl,"Double vis 7 days no corr","In the last 7 days, how often have you seen double images when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I always use glasses or contacts",1;2;3;4;5;6
LasikDECIDLSKTyp,"LASIK Again","If you could do it all over again, would you decide to have LASIK performed?",1;2;3;4,"Yes, I would decide to have it again, because of my result.;Yes, I would decide to have it again, despite my result.;No, I would not decide to have it again, because of my result;No, I would not decide to have it again, despite my result.",1;2;3;4
LasikDEPRESSDScl,"Feeling down","Over the last 2 weeks, how often have you been bothered by feeling down, depressed, or hopeless?",0;1;2;3,"Not at all;Several days;More than half the days;Nearly every day",0;1;2;3
LasikDIFCNDRVScl,"Difficult drive conditions","Because of your vision, how much difficulty do you have driving in difficult conditions, such as bad weather, during rush hour, on the freeway, or in city traffic?",1;2;3;4;5;6,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never drive in these conditions because of vision;Never drive in these conditions for other reasons",1;2;3;4;5;6
LasikDISTSGHTScl,"LASIK Distance Vision","When you are not wearing glasses or contact lenses, is your distance vision now as good as you anticipated it would be after LASIK surgery?",1;2;3,"Yes, definitely;Yes, somewhat;No",1;2;3
LasikDSTVSNBTScl,"Bothersome distort vision","How bothersome has it been?",1;2;3;4,"Very;Somewhat;A little;Not at all",1;2;3;4
LasikDSTVSNInd,"Distorted vision 7 days","Have you experienced distorted vision in the last 7 days?",1;2,"Yes;No",1;2
LasikEMPLOYEDInd,"Currently employed","Are you currently employed (working for pay)?",1;2,"Yes;No",1;2
LasikEVERDRVInd,"Ever driven a car","Have you ever driven a car?",1;2,"Yes;No",1;2
LasikGLAREBTScl,"How bothersome glare","How bothersome has it been?",1;2;3;4,"Very;Somewhat;A little;Not at all",1;2;3;4
LasikGLAREInd,"Glare in the last 7 days","Have you experienced glare in the last 7 days?",1;2,"Yes;No",1;2
LasikGLRANVCScl,"Glare no correct activity","In the last 7 days, how much difficulty have you had doing your usual activities because you notice glare when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I always use vision correction",1;2;3;4;5;6
LasikGLRAWVCScl,"Glare correction activity","In the last 7 days, how much difficulty have you had doing your usual activities because you noticed glare when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficult that I can no longer do some of my usual activities;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikGLRBNVCScl,"Glare no correct bother","In the last 7 days, how bothersome has the glare been when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses",1;2;3;4;5;6
LasikGLRBWVCScl,"Glare correct bothersome","In the last 7 days, how bothersome has the glare been when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikGLROWBVScl,"Glare with correction","In the last 7 days, how often have you noticed glare when you wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikGLRSNBCScl,"Glare best correction","When you use your best vision correction (glasses or contact lenses) does the glare you notice:",1;2;3;4;5;6;7,"Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses",1;2;3;4;5;6;7
LasikGLRWOVCScl,"Glare with no correction","In the last 7 days, how often have you noticed glare when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I always use glasses or contact lenses",1;2;3;4;5;6
LasikGRITEYEScl,"Eyes feel gritty","Eyes that feel gritty?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikGVEUPDRVTyp,"Gave up driving","If you gave up driving, was that mainly beacuse of your vision, mainly for some other reason, or because of both your vision and other reasons?",1;2;3,"Mainly vision;Mainly other reasons;Both vision and other reasons",1;2;3
LasikHAPPYLSKScl,"Happy with LASIK","How happy or unhappy are you that you had LASIK surgery?",1;2;3;4;5;6,"Completely happy;Very happy;Somewhat happy;Somewhat unhappy;Very unhappy;Completely unhappy",1;2;3;4;5;6
LasikHLOANVCScl,"Halos no correct activity","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficult that I can no longer do some of my  usual activities;I always use glasses or contact lenses",1;2;3;4;5;6
LasikHLOAWVCScl,"Halos correction activity","In the last 7 days, how much difficulty have you had doing your usual activities because you see halos when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"No difficulty at all;Very little difficulty;Moderate difficulty;A lot of difficulty;So much difficulty that I can no longer do some of my usual activities;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikHLOBNVCScl,"Halos no correct bother","In the last 7 days, how bothersome have the halos been when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I always use glasses or contact lenses",1;2;3;4;5;6
LasikHLOBWVCScl,"Halos correct bothersome","In the last 7 days, how bothersome have the halos been when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Extremely bothersome;Very bothersome;Somewhat bothersome;A little bothersome;Not at all bothersome;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikHLOOWBVScl,"Halos with correction","In the last 7 days, how often have you seen halos when you are wearing your best vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I do not use glasses or contact lenses",1;2;3;4;5;6
LasikHLOSNBCScl,"Halos best correction","When you use your best vision correction (glasses or contact lenses) do the halos you see:",1;2;3;4;5;6;7,"Go away completely;Go away mostly;Go away a little;Not change;Get a little worse;Get a lot worse;I do not use glasses or contact lenses",1;2;3;4;5;6;7
LasikHLOWOVCScl,"Halos with no correction","In the last 7 days, how often have you seen halos when you are NOT wearing any vision correction (glasses or contact lenses)?",1;2;3;4;5;6,"Never;Rarely;Sometimes;Often;Always;I always use glasses or contact lenses",1;2;3;4;5;6
LasikHLTHOVRScl,"Health in general","In general, would you say your health is:",1;2;3;4;5,"Excellent;Very good;Good;Fair;Poor",1;2;3;4;5
LasikJUDGEDSTScl,"Difficult judge distance","How much difficulty do you have judging distances, like walking down stairs or parking a car?",1;2;3;4,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty",1;2;3;4
LasikLESSSPORTInd,"Less active sports","Because of your vision, do you take part less than you would like in active sports or other outdoor activities (like hiking, swimming, aerobics, team sports, or jogging)?",1;2,"Yes;No",1;2
LasikLGHTHALOScl,"See starburst or halos","How often when you are around bright lights at night do you see starbursts or halos that bother you or make it difficult to see?",1;2;3;4;5,"All of the time;Most of the time;Some of the time;A little of the time;None of the time",1;2;3;4;5
LasikLGHTSENSScl,"Eyes sensitive to light","Eyes that are sensitive to light?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikLOWHMDTYScl,"Places with low humidity","Places or areas with low humidity (very dry)?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikNERVOUSScl,"Feeling nervous","Over the last 2 weeks, how often have you been bothered by feeling nervous, anxious, or on edge?",0;1;2;3,"Not at all;Several days;More than half the days;Nearly every day",0;1;2;3
LasikNEWSPRNTScl,"Difficulty with newspaper","How much difficulty do you have reading ordinary print in newspapers?",1;2;3;4;5;6,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do this because of vision;Never try to do this for other reasons",1;2;3;4;5;6
LasikNIGHTDRVScl,"Difficulty driving night","Because of your vision, how much difficulty do you have driving at night?",1;2;3;4;5;6,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never drive at night because of vision;Never drive at night for other reasons",1;2;3;4;5;6
LasikNOINTRSTScl,"Little interest doing things","Over the last 2 weeks how often have you been bothered by having little interest or please in doing things?",0;1;2;3,"Not at all;Several days;More than half the days;Nearly every day",0;1;2;3
LasikNOSPORTInd,"No sports due to vision","Are there any recreational or sports activities that you don't do because of your vision or the type of vision correction you have?",1;2;3,"Yes, many;Yes, a few;No",1;2;3
LasikOFFSIDEScl,"Difficulty seeing side","How much difficulty do you have seeing things off to the side, like cards coming out of driveways or site streets or people coming out of doorways?",1;2;3;4,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty",1;2;3;4
LasikPOORVSNScl,"Poor vision","Poor vision?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikPRBAFECTScl,"LASIK QOL","Have these problems or limitations affected the quality of your life?",1;2;3;4;5,"Yes, the quality of my life has gotten a lot worse;Yes, the quality of my life has gotten a little bit worse;No, the quality of my life has not been affected;Yes, the quality of my life has gotten a little bit better;Yes, the quality of my life has gotten a lot better",1;2;3;4;5
LasikPRBLSKInd,"LASIK Problems","Because of your LASIK surgery, do you now have any problems or limitations that did not exist prior to LASIK surgery?",1;2,"Yes;No",1;2
LasikQUESLOCTyp,"Where are you taking this questionnaire","Where are you taking this questionnaire?",1;2;3,"Home;Doctor's office;Other location",1;2;3
LasikREASONTyp,"Recommend Reason","Why would you not have LASIK again or not recommend it to a friend or family member?",1;2;3;4;5;6,"Did not like the facility;Did not like the surgeon;Did not like the staff;Did not like the procedure;Did not like the results;Other",1;2;3;4;5;6
LasikRECMDLSKTyp,"Recommend LASIK","Would you recommend LASIK surgery to a friend or family member?",1;2;3;4,"Yes, I would recommend it because of my result.;Yes, I would recommend it despite my result.;No, I would not recommend it because of my result;No, I would not recommend it despite my result.",1;2;3;4
LasikRISKBENScl,"LASIK Risks","How well do you feel you understood the risks and benefits of the LASIK procedure before treatment?",1;2;3;4,"Completely understood;Somewhat understood;Somewhat misunderstood;Completely misunderstood",1;2;3;4
LasikSATRLTTMScl,"LASIK Improvement","Currently, how satisfied or dissatisfied are you with how long it took to see improvement in your vision after LASIK surgery?",1;2;3;4;5;6;7,"Completely satisfied;Very satisfied;Somewhat satisfied;Somewhat dissatisfied;Very dissatisfied;Completely dissatisfied;Never had any improvement in my vision after LASIK surgery",1;2;3;4;5;6;7
LasikSATRSLTSScl,"LASIK Satisfaction","Currently, how satisfied are you with the result of your LASIK surgery?",1;2;3;4;5;6,"Completely satisfied;Very satisfied;Somewhat satisfied;Somewhat dissatisfied;Very dissatisfied;Completely dissatisfied",1;2;3;4;5;6
LasikSATVISScl,"Satisfied present vision","In general, how satisfied or dissatisfied are you with your present vision?",1;2;3;4;5;6,"Completely satisfied;Very satisfied;Somewhat satisfied;Somewhat dissatisfied;Very dissatisfied;Completely dissatisfied",1;2;3;4;5;6
LasikSEEDBL1Typ,"Double images last 7 days (A)","In the last 7 days, have you seen any double images?",1;2;3;4,"Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all",1;2;3;4
LasikSEEDBL2Typ,"Double Images in last 7 days (B)","In the last 7 days, have you seen any double images?",1;2;3,"Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all",1;2;3
LasikSEEGLR1Typ,"Noticed glare last 7 days (A)","In the last 7 days, have you noticed any glare?",1;2;3;4,"Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all",1;2;3;4
LasikSEEGLR2Typ,"Noticed glare last 7 days (B)","In the last 7 days, have you noticed any glare?",1;2;3,"Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all",1;2;3
LasikSEEHLO1Typ,"Notice halos last 7 days (A)","In the last 7 days, have you seen any halos?",1;2;3;4,"Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all",1;2;3;4
LasikSEEHLO2Typ,"Notice halos last 7 days (B)","In the last 7 days, have you seen any halos?",1;2;3,"Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all",1;2;3
LasikSEESTB1Typ,"Starburst last 7 days (A)","In the last 7 days, have you seen any starbursts?",1;2;3;4,"Yes, but ONLY when NOT wearing glasses or contact lenses;Yes, but ONLY when wearing glasses or contact lenses;Yes, when wearing AND when not wearing glasses or contact lenses;No, not at all",1;2;3;4
LasikSEESTB2Typ,"Starburst last 7 days (B)","In the last 7 days, have you seen any starbursts?",1;2;3,"Yes, without glasses or contact lenses;Yes, even wearing glasses or contact lenses;No, not at all",1;2;3
LasikSMLLPRNTScl,"Difficulty small print","How much difficulty do you have reading small print in a telephone book, on a medicine bottle, or on legal forms?",1;2;3;4;5;6,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do these activities because of vision;Never do these activities for other reasons",1;2;3;4;5;6
LasikSOREEYEScl,"Painful or sore eyes","Painful or sore eyes?",0;1;2;3;4,"None of the time;Some of the time;Half of the time;Most of the time;All of the time",0;1;2;3;4
LasikSPORTACTScl,"Difficulty active sports","Because of your vision, how much difficulty do you have taking part in active sports or other activities that you enjoy (like hiking, swimming, aerobics, team sports, or jogging)?",1;2;3;4;5;6,"No difficulty at all;A little difficulty;Moderate difficulty;A lot of difficulty;Never try to do these activities because of vision;Never do these activities for other reasons",1;2;3;4;5;6
LasikSRGNEXPScl,"LASIK Explain","Did your surgeon or health provider from this surgeon's office explain what to expect during your recovery period from LASIK surgery?",1;2;3,"Yes, definitely;Yes, somewhat;No",1;2;3
